级别	日期和时间	来源	事件 ID	任务类别
信息	2013/11/26 19:16:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2849697 成功更改为 已安装 状态。
信息	2013/11/26 19:16:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2849696 成功更改为 已安装 状态。
信息	2013/11/26 19:16:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2841134 成功更改为 已安装 状态。
信息	2013/11/26 18:07:09	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2849697 更改为 已安装 状态。
信息	2013/11/26 18:07:05	Microsoft-Windows-Servicing	1	无	启动程序包 KB2849697 的更改。当前状态为 已安装。目标状态为 已安装。客户端 ID: DISM Package Manager Provider。
信息	2013/11/26 18:07:04	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2849696 更改为 已安装 状态。
信息	2013/11/26 18:06:59	Microsoft-Windows-Servicing	1	无	启动程序包 KB2849696 的更改。当前状态为 已安装。目标状态为 已安装。客户端 ID: DISM Package Manager Provider。
信息	2013/11/26 18:06:56	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2841134 更改为 已安装 状态。
信息	2013/11/26 18:06:34	Microsoft-Windows-Servicing	1	无	启动程序包 KB2841134 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: DISM Package Manager Provider。
信息	2013/11/26 18:06:32	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2849697 更改为 已安装 状态。
信息	2013/11/26 18:06:16	Microsoft-Windows-Servicing	1	无	启动程序包 KB2849697 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: DISM Package Manager Provider。
信息	2013/11/26 18:06:14	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2849696 更改为 已安装 状态。
信息	2013/11/26 18:05:59	Microsoft-Windows-Servicing	1	无	启动程序包 KB2849696 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: DISM Package Manager Provider。
信息	2013/11/26 18:05:55	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2841134 更改为 已安装 状态。
信息	2013/11/26 18:04:51	Microsoft-Windows-Servicing	1	无	启动程序包 KB2841134 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: DISM Package Manager Provider。
信息	2013/11/13 19:25:19	Microsoft-Windows-Servicing	2	无	已将程序包 KB2893519 成功更改为 已安装 状态。
